Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
O15264	p38[delta]	2.425704172	0.9746941347	3.400398307	3.673664139	-1.187253239	-1.204934311	0.06190536498	19.33333333
P06493	CDC2/CDK1	2.698970004	0.9746941347	3.673664139	3.673664139	-1.607263929	-1.707522158	0.1792539177	17.55555556
P17612	PKA[alpha]	2.598626672	0.9746941347	3.573320807	3.673664139	0.6126959898	0.5704110602	0.1389838384	54.77777778
P24941	CDK2	2.698970004	0.9746941347	3.673664139	3.673664139	-1.480325808	-1.349662837	0.2112152824	18.88888889
P27361	ERK1	2.665522227	0.9746941347	3.640216362	3.673664139	-1.587511814	-1.675935071	0.2076603384	20.88888889
P28482	ERK2	2.698970004	0.9746941347	3.673664139	3.673664139	-1.50708707	-1.624740712	0.2222255982	20
P45983	JNK1	2.698970004	0.9746941347	3.673664139	3.673664139	-1.294996397	-1.299683415	0.01003147753	27.44444444
P45984	JNK2	2.665522227	0.9746941347	3.640216362	3.673664139	-1.253069457	-1.237881167	0.1208092676	20.77777778
P53778	p38[gamma]	2.543643337	0.9746941347	3.518337471	3.673664139	-2.079958029	-1.900385245	0.2997068655	9.888888889
P53779	JNK3	2.698970004	0.9746941347	3.673664139	3.673664139	-1.289305388	-1.299683415	0.01822368336	26.88888889
Q00534	CDK6	2.414936393	0.9746941347	3.389630528	3.673664139	-2.186986191	-2.099788906	0.2615918555	5.888888889
Q00535	CDK5	2.698970004	0.9746941347	3.673664139	3.673664139	-1.92546029	-1.92546029	0	10
Q13164	ERK5	2.571622445	0.9746941347	3.54631658	3.673664139	-1.856009266	-1.78479009	0.2321616403	12.88888889
Q16539	MAPK14	2.587858893	0.9746941347	3.562553028	3.673664139	-1.518551188	-1.452474516	0.2845000721	14.77777778
Q9BWU1	CDK11	2.665522227	0.9746941347	3.640216362	3.673664139	-2.884564472	-2.884564472	0	5
Q9UBS0	p70S6K[beta]	2.428462348	0.9746941347	3.403156483	3.673664139	1.065343856	1.087075385	0.2449991369	25.88888889
P11802	CDK4	2.406138477	0.9746941347	3.380832612	3.372634143	-1.987069758	-2.051835816	0.1942981736	7.222222222
P50750	CDK9	2.301470915	0.9746941347	3.27616505	3.196542884	-1.770136355	-1.744372295	0.03864609066	8.666666667
P51817	PRKX	1.811958538	0.9746941347	2.786652673	3.196542884	0.6140848591	0.6558341272	0.1327246316	33.88888889
Q13976	PKG1	1.76954157	0.9746941347	2.744235704	2.71942163	0.5770974803	0.5679214411	0.07184596301	42.22222222
O15111	IKK[alpha]	1.533801456	0.9746941347	2.50849559	2.469544156	2.211696341	2.112408212	0.1489321928	3.666666667
P49674	CK1[epsilon]	1.504435566	0.9746941347	2.479129701	2.443215218	2.28385258	2.323555194	0.1050432419	3.142857143
Q92772	CDKL2	1.422281075	0.9746941347	2.396975209	2.322448871	-2.218655066	-2.142333902	0.1869479089	3.333333333
O76039	CDKL5	1.227748256	0.9746941347	2.202442391	2.29687261	-1.448050717	-1.336125508	0.2697730719	6.25
Q13237	PKG2	1.567748984	0.9163617204	2.484110704	2.293452897	0.5131972478	0.4840103567	0.0797784266	39.44444444
Q96L96	AlphaK1	1.230464302	0.9746941347	2.205158437	2.293452897	-1.901782314	-1.92897023	0.04709085293	3.666666667
Q15759	p38[beta]	1.132170372	0.930944824	2.063115196	2.247119374	-1.215167026	-1.350651473	0.4554327084	6.333333333
P48730	CK1[delta]	1.268801001	0.9746941347	2.243495136	2.243495136	2.119486222	2.119486222	0	3
P49840	GSK3[alpha]	1.053948582	0.9496814528	2.003630035	2.226506108	-1.256674502	-1.457082494	0.4192247318	5.444444444
Q9UHD2	TBK1	1.153026415	0.9746941347	2.12772055	2.117361638	-1.417539214	-1.358935206	0.1972364493	5.888888889
Q00526	CDK3	1.337807895	0.9746941347	2.312502029	2.082599532	-0.9501811194	-0.952485796	0.1149779175	14
Q16566	CaMK4	1.065587781	0.9746941347	2.040281916	2.030211463	0.8447475188	0.8108762773	0.1052408931	13.55555556
Q15139	PKD1	1.037140626	0.9746941347	2.011834761	1.992422902	1.313360659	1.313360659	0	6
O94921	PFTAIRE1	0.9822991391	0.9746941347	1.956993274	1.957660795	1.729188189	1.729188189	0	3
P17252	PKC[alpha]	0.8845159117	0.9746941347	1.859210046	1.925476112	0.4457119402	0.4299549953	0.04524702226	31.22222222
